IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.238.40.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,66,0.12
119.13.88.67,26541,443,true,HKG,Asia Pacific,Hong Kong,79,0.12
47.76.204.76,2053,2053,true,HKG,Asia Pacific,Hong Kong,65,0.12
47.76.204.76,2087,2087,true,HKG,Asia Pacific,Hong Kong,43,0.11
39.126.44.106,37635,80,false,HKG,Asia Pacific,Hong Kong,397,0.10
47.238.40.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,45,0.09
47.238.40.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,44,0.04
120.220.19.109,2082,2082,false,HKG,Asia Pacific,Hong Kong,120,0.00
47.76.32.108,2095,0,false,HKG,Asia Pacific,Hong Kong,65,0.00
120.220.19.103,2052,2052,false,HKG,Asia Pacific,Hong Kong,112,0.00
47.76.192.24,2096,2096,true,HKG,Asia Pacific,Hong Kong,111,0.00
119.28.22.113,443,80,false,HKG,Asia Pacific,Hong Kong,46,0.00
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,64,0.00
47.76.32.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,75,0.00
129.226.12.38,443,443,true,HKG,Asia Pacific,Hong Kong,45,0.00
43.154.104.77,443,443,true,HKG,Asia Pacific,Hong Kong,73,0.00
47.76.146.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,111,0.00
8.218.181.189,8080,8080,false,HKG,Asia Pacific,Hong Kong,73,0.00
