IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.11.90,2052,2052,false,HKG,Asia Pacific,Hong Kong,75,12.70
47.243.139.243,2096,2096,true,HKG,Asia Pacific,Hong Kong,92,12.65
8.217.145.40,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,12.64
47.242.174.27,8443,8443,true,HKG,Asia Pacific,Hong Kong,88,12.61
8.210.192.93,2096,2096,true,HKG,Asia Pacific,Hong Kong,60,12.60
8.217.49.34,8080,8080,false,HKG,Asia Pacific,Hong Kong,60,12.53
47.243.234.9,8880,8880,false,HKG,Asia Pacific,Hong Kong,44,12.46
8.210.245.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,103,12.43
8.210.207.214,2096,2096,true,HKG,Asia Pacific,Hong Kong,100,12.38
47.76.227.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,96,12.36
47.242.252.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,12.30
8.210.174.156,2096,2096,true,HKG,Asia Pacific,Hong Kong,54,12.18
8.217.159.210,2052,2052,false,HKG,Asia Pacific,Hong Kong,115,12.05
47.243.107.148,80,80,false,HKG,Asia Pacific,Hong Kong,55,11.97
103.48.169.9,38835,443,true,HKG,Asia Pacific,Hong Kong,114,11.96
8.217.232.246,8080,8080,false,HKG,Asia Pacific,Hong Kong,127,11.81
8.218.74.119,80,80,false,HKG,Asia Pacific,Hong Kong,89,11.78
47.238.40.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,119,11.75
8.210.65.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,77,11.66
47.242.59.216,8443,8443,true,HKG,Asia Pacific,Hong Kong,115,11.61
47.243.60.150,2087,2087,true,HKG,Asia Pacific,Hong Kong,114,11.59
8.210.34.188,2087,2087,true,HKG,Asia Pacific,Hong Kong,90,11.58
8.210.146.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,102,11.53
8.217.207.60,8880,8880,false,HKG,Asia Pacific,Hong Kong,84,11.53
8.210.66.190,80,80,false,HKG,Asia Pacific,Hong Kong,44,11.48
8.218.52.115,8080,8080,false,HKG,Asia Pacific,Hong Kong,93,11.34
8.218.146.204,2086,2086,false,HKG,Asia Pacific,Hong Kong,56,11.28
8.217.127.73,2095,2095,false,HKG,Asia Pacific,Hong Kong,45,11.27
47.242.252.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,11.27
8.217.121.207,8443,8443,true,HKG,Asia Pacific,Hong Kong,105,11.24
47.243.169.63,8080,8080,false,HKG,Asia Pacific,Hong Kong,42,11.15
47.242.202.230,8880,8880,false,HKG,Asia Pacific,Hong Kong,45,11.12
47.243.169.63,8443,8443,true,HKG,Asia Pacific,Hong Kong,88,11.11
47.243.243.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,42,11.01
47.242.252.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,105,10.86
47.242.234.127,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,10.82
8.218.18.132,2095,2095,false,HKG,Asia Pacific,Hong Kong,119,10.81
8.218.222.36,8880,8880,false,HKG,Asia Pacific,Hong Kong,100,10.79
8.218.142.253,8443,8443,true,HKG,Asia Pacific,Hong Kong,60,10.60
47.243.139.85,2053,2053,true,HKG,Asia Pacific,Hong Kong,94,10.59
8.217.72.0,2096,2096,true,HKG,Asia Pacific,Hong Kong,119,10.58
8.210.207.214,8443,8443,true,HKG,Asia Pacific,Hong Kong,90,10.56
47.243.203.119,2087,2087,true,HKG,Asia Pacific,Hong Kong,103,10.56
47.243.186.171,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,10.47
8.210.156.6,2087,2087,true,HKG,Asia Pacific,Hong Kong,75,10.46
